timeStep;demandHeat;demandElectricity;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;ThermalStorage5SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
156.00;-9.97;-2.94;3.67;0.00;0.00;10.51;0.00;0.00;0.00;0.18;0.25;9.97;9.97;2.94;3.67;0.00;0.00;6.30;0.00;-0.00
157.00;-9.37;-2.77;3.43;0.00;0.00;9.89;0.00;0.00;0.00;0.17;0.25;9.37;9.37;2.77;3.43;0.00;0.00;5.94;0.00;-0.00
158.00;-17.57;-3.72;8.06;0.01;0.00;15.84;0.00;0.72;0.00;0.25;0.25;17.57;17.57;3.72;8.06;0.01;0.00;9.51;0.00;-0.72
159.00;-19.14;-3.65;11.32;0.00;0.01;13.05;0.00;0.00;0.00;0.22;0.25;19.14;19.14;3.65;11.32;0.00;0.01;7.83;0.00;-0.00
160.00;-12.27;-3.12;5.59;0.00;0.00;11.13;0.00;0.00;0.00;0.19;0.25;12.27;12.27;3.12;5.59;0.00;0.00;6.68;0.00;-0.00
161.00;-10.71;-3.88;2.40;0.00;0.00;13.85;0.00;0.00;0.00;0.24;0.25;10.71;10.71;3.88;2.40;0.00;0.00;8.31;0.00;-0.00
162.00;-11.60;-4.03;2.97;0.00;0.01;14.41;0.00;0.00;0.00;0.25;0.25;11.60;11.60;4.03;2.97;0.00;0.01;8.64;0.00;-0.00
163.00;-9.72;-3.72;1.75;0.01;0.00;13.29;0.00;0.00;0.00;0.23;0.25;9.72;9.72;3.72;1.75;0.01;0.00;7.97;0.00;-0.00
164.00;-10.26;-4.27;1.10;0.01;0.01;15.26;0.00;0.00;0.00;0.26;0.25;10.26;10.26;4.27;1.10;0.00;0.00;9.16;0.00;-0.00
165.00;-15.64;-4.57;1.36;0.01;0.00;23.79;0.00;2.09;0.00;0.34;0.25;15.64;15.64;4.57;1.36;0.01;0.00;14.27;0.00;-2.09
166.00;-18.50;-4.21;0.42;0.00;0.00;30.14;0.00;4.23;0.00;0.38;0.25;18.50;18.50;4.21;0.42;0.00;0.00;18.08;0.00;-4.23
167.00;-12.83;-3.85;0.95;0.00;0.00;19.79;0.00;1.70;0.00;0.29;0.25;12.83;12.83;3.85;0.95;0.00;0.00;11.87;0.00;-1.70
168.00;-10.58;-4.23;0.96;0.00;0.00;16.03;0.00;0.26;0.00;0.27;0.25;10.58;10.58;4.23;0.96;0.00;0.00;9.62;0.00;-0.26
169.00;-11.37;-4.00;1.10;0.00;0.00;17.12;0.00;0.80;0.00;0.27;0.25;11.37;11.37;4.00;1.10;0.00;0.00;10.27;0.00;-0.80
170.00;-14.82;-3.74;1.39;0.00;0.00;22.38;0.00;2.53;0.00;0.30;0.25;14.82;14.82;3.74;1.39;0.00;0.00;13.43;0.00;-2.53
171.00;-20.31;-4.34;1.36;0.00;0.00;31.58;0.00;4.50;0.00;0.40;0.25;20.31;20.31;4.34;1.36;0.00;0.00;18.95;0.00;-4.50
172.00;-16.32;-4.66;0.83;0.00;0.00;25.81;0.00;2.57;0.00;0.36;0.25;16.32;16.32;4.66;0.83;0.00;0.00;15.49;0.00;-2.57
173.00;-15.03;-5.48;0.69;0.00;0.00;23.89;0.00;1.21;0.00;0.37;0.25;15.03;15.03;5.48;0.69;0.00;0.00;14.34;0.00;-1.21
174.00;-13.14;-5.07;0.75;0.00;0.00;20.64;0.00;0.71;0.00;0.33;0.25;13.14;13.14;5.07;0.75;0.00;0.00;12.38;0.00;-0.71
175.00;-11.92;-4.60;0.61;0.00;0.00;18.85;0.00;0.68;0.00;0.30;0.25;11.92;11.92;4.60;0.61;0.00;0.00;11.31;0.00;-0.68
176.00;-19.74;-4.99;0.46;0.00;0.00;32.14;0.00;4.01;0.00;0.43;0.25;19.74;19.74;4.99;0.46;0.00;0.00;19.28;0.00;-4.01
177.00;-19.91;-4.95;0.36;0.00;0.00;32.57;0.00;4.17;0.00;0.43;0.25;19.91;19.91;4.95;0.36;0.00;0.00;19.54;0.00;-4.17
178.00;-14.12;-4.32;0.23;0.00;0.00;23.15;0.00;2.16;0.00;0.33;0.25;14.12;14.12;4.32;0.23;0.00;0.00;13.89;0.00;-2.16
179.00;-16.41;-4.46;0.10;0.00;0.00;27.18;0.00;3.15;0.00;0.37;0.25;16.41;16.41;4.46;0.10;0.00;0.00;16.31;0.00;-3.15
180.00;-14.48;-4.44;0.00;0.00;0.00;24.12;0.00;2.32;0.00;0.34;0.25;14.48;14.48;4.44;0.00;0.00;0.00;14.47;0.00;-2.32
181.00;-9.50;-3.65;0.00;0.00;0.00;15.84;0.00;0.78;0.00;0.25;0.25;9.50;9.50;3.65;0.00;0.00;0.00;9.50;0.00;-0.78
182.00;-15.41;-3.53;0.00;0.00;0.00;25.69;0.00;3.67;0.00;0.33;0.25;15.41;15.41;3.53;0.00;0.00;0.00;15.41;0.00;-3.67
183.00;-16.84;-3.46;0.00;0.00;0.00;28.07;0.00;4.40;0.00;0.34;0.25;16.84;16.84;3.46;0.00;0.00;0.00;16.84;0.00;-4.40
184.00;-10.75;-3.01;0.00;0.00;0.00;17.92;0.00;2.01;0.00;0.24;0.25;10.75;10.75;3.01;0.00;0.00;0.00;10.75;0.00;-2.01
185.00;-11.80;-2.94;0.00;0.00;0.00;19.67;0.00;2.57;0.00;0.26;0.25;11.80;11.80;2.94;0.00;0.00;0.00;11.80;0.00;-2.57
186.00;-17.13;-3.15;0.00;0.00;0.00;28.55;0.00;4.85;0.00;0.34;0.25;17.13;17.13;3.15;0.00;0.00;0.00;17.13;0.00;-4.85
187.00;-13.39;-3.09;0.00;0.00;0.00;22.32;0.00;3.16;0.00;0.28;0.25;13.39;13.39;3.09;0.00;0.00;0.00;13.39;0.00;-3.16
188.00;-8.54;-2.98;0.00;0.00;0.00;14.24;0.00;1.01;0.00;0.21;0.25;8.54;8.54;2.98;0.00;0.00;0.00;8.54;0.00;-1.01
189.00;-14.00;-3.00;0.00;0.00;0.00;23.34;0.00;3.54;0.00;0.29;0.25;14.00;14.00;3.00;0.00;0.00;0.00;14.00;0.00;-3.54
190.00;-16.02;-2.92;0.00;0.00;0.00;26.70;0.00;4.56;0.00;0.31;0.25;16.02;16.02;2.92;0.00;0.00;0.00;16.02;0.00;-4.56
191.00;-10.38;-2.61;0.00;0.00;0.00;17.30;0.00;2.24;0.00;0.23;0.25;10.38;10.38;2.61;0.00;0.00;0.00;10.38;0.00;-2.24
192.00;-11.21;-2.20;0.00;0.00;0.00;18.68;0.00;3.03;0.00;0.23;0.25;11.21;11.21;2.20;0.00;0.00;0.00;11.21;0.00;-3.03
193.00;-12.19;-2.22;0.00;0.00;0.00;20.31;0.00;3.47;0.00;0.24;0.25;12.19;12.19;2.22;0.00;0.00;0.00;12.19;0.00;-3.47
194.00;-8.89;-2.38;0.00;0.00;0.00;14.82;0.00;1.77;0.00;0.20;0.25;8.89;8.89;2.38;0.00;0.00;0.00;8.89;0.00;-1.77
195.00;-8.07;-2.67;0.00;0.00;0.00;13.45;0.00;1.09;0.00;0.20;0.25;8.07;8.07;2.67;0.00;0.00;0.00;8.07;0.00;-1.09
196.00;-12.35;-2.82;0.00;0.00;0.00;20.59;0.00;2.94;0.00;0.26;0.25;12.35;12.35;2.82;0.00;0.00;0.00;12.35;0.00;-2.94
197.00;-14.92;-2.76;0.00;0.00;0.00;24.87;0.00;4.21;0.00;0.29;0.25;14.92;14.92;2.76;0.00;0.00;0.00;14.92;0.00;-4.21
198.00;-11.45;-2.54;0.00;0.00;0.00;19.08;0.00;2.80;0.00;0.24;0.25;11.45;11.45;2.54;0.00;0.00;0.00;11.45;0.00;-2.80
199.00;-7.82;-2.40;0.00;0.00;0.00;13.03;0.00;1.25;0.00;0.18;0.25;7.82;7.82;2.40;0.00;0.00;0.00;7.82;0.00;-1.25
200.00;-9.78;-2.37;0.00;0.00;0.00;16.30;0.00;2.19;0.00;0.21;0.25;9.78;9.78;2.37;0.00;0.00;0.00;9.78;0.00;-2.19
201.00;-13.53;-2.39;0.00;0.00;0.00;22.55;0.00;3.92;0.00;0.26;0.25;13.53;13.53;2.39;0.00;0.00;0.00;13.53;0.00;-3.92
202.00;-11.61;-2.25;0.00;0.00;0.00;19.36;0.00;3.17;0.00;0.23;0.25;11.61;11.61;2.25;0.00;0.00;0.00;11.61;0.00;-3.17
203.00;-8.36;-2.07;0.00;0.00;0.00;13.93;0.00;1.84;0.00;0.18;0.25;8.36;8.36;2.07;0.00;0.00;0.00;8.36;0.00;-1.84
204.00;-9.78;-2.07;0.00;0.00;0.00;16.30;0.00;2.50;0.00;0.20;0.25;9.78;9.78;2.07;0.00;0.00;0.00;9.78;0.00;-2.50
205.00;-15.46;-2.23;0.00;0.00;0.00;25.77;0.00;4.98;0.00;0.29;0.25;15.46;15.46;2.23;0.00;0.00;0.00;15.46;0.00;-4.98
206.00;-13.84;-2.28;0.00;0.00;0.00;23.06;0.00;4.18;0.00;0.26;0.25;13.84;13.84;2.28;0.00;0.00;0.00;13.84;0.00;-4.18
207.00;-10.09;-2.16;0.00;0.00;0.00;16.82;0.00;2.55;0.00;0.21;0.25;10.09;10.09;2.16;0.00;0.00;0.00;10.09;0.00;-2.55
208.00;-10.05;-2.10;0.00;0.00;0.00;16.76;0.00;2.59;0.00;0.21;0.25;10.05;10.05;2.10;0.00;0.00;0.00;10.05;0.00;-2.59
209.00;-10.52;-2.09;0.00;0.00;0.00;17.54;0.00;2.82;0.00;0.21;0.25;10.52;10.52;2.09;0.00;0.00;0.00;10.52;0.00;-2.82
210.00;-9.70;-2.11;0.00;0.00;0.00;16.17;0.00;2.42;0.00;0.20;0.25;9.70;9.70;2.11;0.00;0.00;0.00;9.70;0.00;-2.42
211.00;-11.82;-2.13;0.00;0.00;0.00;19.71;0.00;3.39;0.00;0.23;0.25;11.82;11.82;2.13;0.00;0.00;0.00;11.82;0.00;-3.39
212.00;-15.52;-2.10;0.00;0.00;0.00;25.87;0.00;5.14;0.00;0.28;0.25;15.52;15.52;2.10;0.00;0.00;0.00;15.52;0.00;-5.14
213.00;-13.98;-2.14;0.00;0.00;0.00;23.30;0.00;4.38;0.00;0.26;0.25;13.98;13.98;2.14;0.00;0.00;0.00;13.98;0.00;-4.38
214.00;-13.56;-2.22;0.00;0.00;0.00;22.60;0.00;4.10;0.00;0.26;0.25;13.56;13.56;2.22;0.00;0.00;0.00;13.56;0.00;-4.10
215.00;-10.40;-2.25;0.00;0.00;0.00;17.34;0.00;2.60;0.00;0.22;0.25;10.40;10.40;2.25;0.00;0.00;0.00;10.40;0.00;-2.60
216.00;-8.66;-2.37;0.02;0.00;0.00;14.40;0.00;1.66;0.00;0.19;0.25;8.66;8.66;2.37;0.02;0.00;0.00;8.64;0.00;-1.66
217.00;-12.41;-2.73;0.11;0.00;0.00;20.51;0.00;3.01;0.00;0.26;0.25;12.41;12.41;2.73;0.11;0.00;0.00;12.31;0.00;-3.01
218.00;-16.10;-2.99;0.24;0.00;0.00;26.44;0.00;4.41;0.00;0.32;0.25;16.10;16.10;2.99;0.24;0.00;0.00;15.87;0.00;-4.41
219.00;-16.15;-3.21;0.37;0.00;0.00;26.30;0.00;4.15;0.00;0.32;0.25;16.15;16.15;3.21;0.37;0.00;0.00;15.78;0.00;-4.15
220.00;-19.64;-3.63;0.51;0.00;0.00;31.88;0.00;5.30;0.00;0.38;0.25;19.64;19.64;3.63;0.51;0.00;0.00;19.13;0.00;-5.30
221.00;-19.02;-3.56;0.69;0.00;0.00;30.54;0.00;5.00;0.00;0.37;0.25;19.02;19.02;3.56;0.69;0.00;0.00;18.33;0.00;-5.00
222.00;-9.98;-3.19;1.09;0.00;0.00;14.80;0.00;0.96;0.00;0.22;0.25;9.98;9.98;3.19;1.09;0.00;0.00;8.88;0.00;-0.96
223.00;-15.33;-2.91;1.18;0.00;0.00;23.58;0.00;3.69;0.00;0.29;0.25;15.33;15.33;2.91;1.18;0.00;0.00;14.15;0.00;-3.69
224.00;-18.71;-2.81;1.21;0.00;0.00;29.16;0.00;5.36;0.00;0.33;0.25;18.71;18.71;2.81;1.21;0.00;0.00;17.49;0.00;-5.36
225.00;-14.28;-3.08;1.01;0.00;0.00;22.12;0.00;3.12;0.00;0.28;0.25;14.28;14.28;3.08;1.01;0.00;0.00;13.27;0.00;-3.12
226.00;-15.28;-3.49;0.90;0.00;0.00;23.97;0.00;3.22;0.00;0.31;0.25;15.28;15.28;3.49;0.90;0.00;0.00;14.38;0.00;-3.22
227.00;-15.05;-3.66;0.73;0.00;0.00;23.87;0.00;3.03;0.00;0.31;0.25;15.05;15.05;3.66;0.73;0.00;0.00;14.32;0.00;-3.03
228.00;-11.13;-3.78;0.78;0.00;0.00;17.25;0.00;1.05;0.00;0.26;0.25;11.13;11.13;3.78;0.78;0.00;0.00;10.35;0.00;-1.05
229.00;-7.89;-3.67;0.02;0.00;0.01;13.12;0.00;0.00;0.00;0.22;0.25;7.89;7.89;3.67;0.02;0.00;0.01;7.87;0.00;-0.00
230.00;-12.49;-3.47;1.27;0.00;0.00;18.71;0.00;1.77;0.00;0.26;0.25;12.49;12.49;3.47;1.27;0.00;0.00;11.22;0.00;-1.77
231.00;-14.59;-3.67;1.40;0.00;0.00;21.98;0.00;2.49;0.00;0.30;0.25;14.59;14.59;3.67;1.40;0.00;0.00;13.19;0.00;-2.49
232.00;-8.66;-3.55;1.05;0.00;0.00;12.68;0.00;0.00;0.00;0.22;0.25;8.66;8.66;3.55;1.05;0.00;0.00;7.61;0.00;-0.00
233.00;-12.06;-3.64;1.44;0.00;0.00;17.68;0.00;1.31;0.00;0.26;0.25;12.06;12.06;3.64;1.44;0.00;0.00;10.61;0.00;-1.31
234.00;-15.83;-3.17;1.18;0.00;0.00;24.42;0.00;3.67;0.00;0.30;0.25;15.83;15.83;3.17;1.18;0.00;0.00;14.65;0.00;-3.67
235.00;-14.42;-2.72;1.23;0.00;0.00;21.98;0.00;3.44;0.00;0.27;0.25;14.42;14.42;2.72;1.23;0.00;0.00;13.19;0.00;-3.44
236.00;-10.75;-3.25;1.16;0.00;0.00;15.98;0.00;1.23;0.00;0.24;0.25;10.75;10.75;3.25;1.16;0.00;0.00;9.59;0.00;-1.23
237.00;-9.69;-3.93;1.27;0.00;0.00;14.05;0.00;0.00;0.00;0.24;0.25;9.69;9.69;3.93;1.27;0.00;0.00;8.43;0.00;-0.00
238.00;-13.92;-4.58;2.23;0.00;0.00;19.48;0.00;0.88;0.00;0.31;0.25;13.92;13.92;4.58;2.23;0.00;0.00;11.69;0.00;-0.88
239.00;-13.20;-4.00;2.17;0.00;0.00;18.37;0.00;1.14;0.00;0.28;0.25;13.20;13.20;4.00;2.17;0.00;0.00;11.02;0.00;-1.14
240.00;-11.26;-3.31;2.71;0.00;0.00;14.25;0.00;0.68;0.00;0.22;0.25;11.26;11.26;3.31;2.71;0.00;0.00;8.55;0.00;-0.68
241.00;-17.59;-3.28;2.25;0.00;0.00;25.57;0.00;3.88;0.00;0.32;0.25;17.59;17.59;3.28;2.25;0.00;0.00;15.34;0.00;-3.88
242.00;-20.91;-3.71;2.05;0.00;0.00;31.43;0.00;5.09;0.00;0.38;0.25;20.91;20.91;3.71;2.05;0.00;0.00;18.86;0.00;-5.09
243.00;-12.51;-4.29;2.04;0.00;0.00;17.45;0.00;0.59;0.00;0.28;0.25;12.51;12.51;4.29;2.04;0.00;0.00;10.47;0.00;-0.59
244.00;-8.00;-4.51;0.00;0.00;1.67;16.10;0.00;0.00;0.00;0.28;0.25;8.00;8.00;4.51;0.00;0.00;1.50;9.66;0.00;-0.00
245.00;-8.60;-4.19;0.00;0.00;0.39;14.98;0.00;0.00;0.37;0.26;0.25;8.60;8.60;4.19;0.00;0.00;0.35;8.99;0.00;-0.00
246.00;-8.77;-4.25;0.00;0.00;0.35;15.19;0.00;0.00;0.46;0.26;0.25;8.77;8.77;4.25;0.00;0.00;0.31;9.11;0.00;-0.00
247.00;-15.55;-4.73;3.65;1.77;0.00;16.89;0.00;0.00;0.54;0.29;0.25;15.55;15.55;4.73;3.65;1.59;0.00;10.13;0.00;-0.00
248.00;-21.35;-4.34;5.44;0.17;0.00;26.23;0.00;3.00;0.05;0.36;0.25;21.35;21.35;4.34;5.44;0.16;0.00;15.74;0.00;-3.00
249.00;-18.48;-3.56;5.71;0.00;0.00;21.28;0.00;2.40;0.00;0.29;0.25;18.48;18.48;3.56;5.71;0.00;0.00;12.77;0.00;-2.40
250.00;-13.57;-3.60;5.86;0.00;0.00;12.86;0.00;0.00;0.00;0.22;0.25;13.57;13.57;3.60;5.86;0.00;0.00;7.72;0.00;-0.00
251.00;-11.31;-3.70;3.39;0.00;0.00;13.22;0.00;0.00;0.00;0.23;0.25;11.31;11.31;3.70;3.39;0.00;0.00;7.93;0.00;-0.00
252.00;-9.97;-2.94;3.67;0.00;0.00;10.51;0.00;0.00;0.00;0.18;0.25;9.97;9.97;2.94;3.67;0.00;0.00;6.30;0.00;-0.00
253.00;-9.37;-2.77;3.43;0.00;0.00;9.89;0.00;0.00;0.00;0.17;0.25;9.37;9.37;2.77;3.43;0.00;0.00;5.94;0.00;-0.00
254.00;-17.57;-3.72;8.06;0.01;0.00;15.84;0.00;0.72;0.00;0.25;0.25;17.57;17.57;3.72;8.06;0.01;0.00;9.51;0.00;-0.72
255.00;-19.14;-3.65;11.32;0.00;0.01;13.05;0.00;0.00;0.00;0.22;0.25;19.14;19.14;3.65;11.32;0.00;0.01;7.83;0.00;-0.00
256.00;-12.27;-3.12;5.59;0.00;0.00;11.13;0.00;0.00;0.00;0.19;0.25;12.27;12.27;3.12;5.59;0.00;0.00;6.68;0.00;-0.00
257.00;-10.71;-3.88;2.40;0.00;0.00;13.85;0.00;0.00;0.00;0.24;0.25;10.71;10.71;3.88;2.40;0.00;0.00;8.31;0.00;-0.00
258.00;-11.60;-4.03;2.97;0.00;0.01;14.41;0.00;0.00;0.00;0.25;0.25;11.60;11.60;4.03;2.97;0.00;0.01;8.64;0.00;-0.00
259.00;-9.72;-3.72;1.75;0.01;0.00;13.29;0.00;0.00;0.00;0.23;0.25;9.72;9.72;3.72;1.75;0.01;0.00;7.97;0.00;-0.00
260.00;-10.26;-4.27;1.10;0.01;0.01;15.26;0.00;0.00;0.00;0.26;0.25;10.26;10.26;4.27;1.10;0.00;0.00;9.16;0.00;-0.00
261.00;-15.64;-4.57;1.36;0.01;0.00;23.79;0.00;2.09;0.00;0.34;0.25;15.64;15.64;4.57;1.36;0.01;0.00;14.27;0.00;-2.09
262.00;-18.50;-4.21;0.42;0.00;0.00;30.14;0.00;4.23;0.00;0.38;0.25;18.50;18.50;4.21;0.42;0.00;0.00;18.08;0.00;-4.23
263.00;-12.83;-3.85;0.95;0.00;0.00;19.79;0.00;1.70;0.00;0.29;0.25;12.83;12.83;3.85;0.95;0.00;0.00;11.87;0.00;-1.70
264.00;-10.58;-4.23;0.96;0.00;0.00;16.03;0.00;0.26;0.00;0.27;0.25;10.58;10.58;4.23;0.96;0.00;0.00;9.62;0.00;-0.26
265.00;-11.37;-4.00;1.10;0.00;0.00;17.12;0.00;0.80;0.00;0.27;0.25;11.37;11.37;4.00;1.10;0.00;0.00;10.27;0.00;-0.80
266.00;-14.82;-3.74;1.39;0.00;0.00;22.38;0.00;2.53;0.00;0.30;0.25;14.82;14.82;3.74;1.39;0.00;0.00;13.43;0.00;-2.53
267.00;-20.31;-4.34;1.36;0.00;0.00;31.58;0.00;4.50;0.00;0.40;0.25;20.31;20.31;4.34;1.36;0.00;0.00;18.95;0.00;-4.50
268.00;-16.32;-4.66;0.83;0.00;0.00;25.81;0.00;2.57;0.00;0.36;0.25;16.32;16.32;4.66;0.83;0.00;0.00;15.49;0.00;-2.57
269.00;-15.03;-5.48;0.69;0.00;0.00;23.89;0.00;1.21;0.00;0.37;0.25;15.03;15.03;5.48;0.69;0.00;0.00;14.34;0.00;-1.21
270.00;-13.14;-5.07;0.75;0.00;0.00;20.64;0.00;0.71;0.00;0.33;0.25;13.14;13.14;5.07;0.75;0.00;0.00;12.38;0.00;-0.71
271.00;-11.92;-4.60;0.61;0.00;0.00;18.85;0.00;0.68;0.00;0.30;0.25;11.92;11.92;4.60;0.61;0.00;0.00;11.31;0.00;-0.68
272.00;-19.74;-4.99;0.46;0.00;0.00;32.14;0.00;4.01;0.00;0.43;0.25;19.74;19.74;4.99;0.46;0.00;0.00;19.28;0.00;-4.01
273.00;-19.91;-4.95;0.36;0.00;0.00;32.57;0.00;4.17;0.00;0.43;0.25;19.91;19.91;4.95;0.36;0.00;0.00;19.54;0.00;-4.17
274.00;-14.12;-4.32;0.23;0.00;0.00;23.15;0.00;2.16;0.00;0.33;0.25;14.12;14.12;4.32;0.23;0.00;0.00;13.89;0.00;-2.16
275.00;-16.41;-4.46;0.10;0.00;0.00;27.18;0.00;3.15;0.00;0.37;0.25;16.41;16.41;4.46;0.10;0.00;0.00;16.31;0.00;-3.15
276.00;-14.48;-4.44;0.00;0.00;0.00;24.12;0.00;2.32;0.00;0.34;0.25;14.48;14.48;4.44;0.00;0.00;0.00;14.47;0.00;-2.32
277.00;-9.50;-3.65;0.00;0.00;0.00;15.84;0.00;0.78;0.00;0.25;0.25;9.50;9.50;3.65;0.00;0.00;0.00;9.50;0.00;-0.78
278.00;-15.41;-3.53;0.00;0.00;0.00;25.69;0.00;3.67;0.00;0.33;0.25;15.41;15.41;3.53;0.00;0.00;0.00;15.41;0.00;-3.67
279.00;-16.84;-3.46;0.00;0.00;0.00;28.07;0.00;4.40;0.00;0.34;0.25;16.84;16.84;3.46;0.00;0.00;0.00;16.84;0.00;-4.40
280.00;-10.75;-3.01;0.00;0.00;0.00;17.92;0.00;2.01;0.00;0.24;0.25;10.75;10.75;3.01;0.00;0.00;0.00;10.75;0.00;-2.01
281.00;-11.80;-2.94;0.00;0.00;0.00;19.67;0.00;2.57;0.00;0.26;0.25;11.80;11.80;2.94;0.00;0.00;0.00;11.80;0.00;-2.57
282.00;-17.13;-3.15;0.00;0.00;0.00;28.55;0.00;4.85;0.00;0.34;0.25;17.13;17.13;3.15;0.00;0.00;0.00;17.13;0.00;-4.85
283.00;-13.39;-3.09;0.00;0.00;0.00;22.32;0.00;3.16;0.00;0.28;0.25;13.39;13.39;3.09;0.00;0.00;0.00;13.39;0.00;-3.16
284.00;-8.54;-2.98;0.00;0.00;0.00;14.24;0.00;1.01;0.00;0.21;0.25;8.54;8.54;2.98;0.00;0.00;0.00;8.54;0.00;-1.01
285.00;-14.00;-3.00;0.00;0.00;0.00;23.34;0.00;3.54;0.00;0.29;0.25;14.00;14.00;3.00;0.00;0.00;0.00;14.00;0.00;-3.54
286.00;-16.02;-2.92;0.00;0.00;0.00;26.70;0.00;4.56;0.00;0.31;0.25;16.02;16.02;2.92;0.00;0.00;0.00;16.02;0.00;-4.56
287.00;-10.38;-2.61;0.00;0.00;0.00;17.30;0.00;2.24;0.00;0.23;0.25;10.38;10.38;2.61;0.00;0.00;0.00;10.38;0.00;-2.24
288.00;-11.21;-2.20;0.00;0.00;0.00;18.68;0.00;3.03;0.00;0.23;0.25;11.21;11.21;2.20;0.00;0.00;0.00;11.21;0.00;-3.03
289.00;-12.19;-2.22;0.00;0.00;0.00;20.31;0.00;3.47;0.00;0.24;0.25;12.19;12.19;2.22;0.00;0.00;0.00;12.19;0.00;-3.47
290.00;-8.89;-2.38;0.00;0.00;0.00;14.82;0.00;1.77;0.00;0.20;0.25;8.89;8.89;2.38;0.00;0.00;0.00;8.89;0.00;-1.77
291.00;-8.07;-2.67;0.00;0.00;0.00;13.45;0.00;1.09;0.00;0.20;0.25;8.07;8.07;2.67;0.00;0.00;0.00;8.07;0.00;-1.09
292.00;-12.35;-2.82;0.00;0.00;0.00;20.59;0.00;2.94;0.00;0.26;0.25;12.35;12.35;2.82;0.00;0.00;0.00;12.35;0.00;-2.94
293.00;-14.92;-2.76;0.00;0.00;0.00;24.87;0.00;4.21;0.00;0.29;0.25;14.92;14.92;2.76;0.00;0.00;0.00;14.92;0.00;-4.21
294.00;-11.45;-2.54;0.00;0.00;0.00;19.08;0.00;2.80;0.00;0.24;0.25;11.45;11.45;2.54;0.00;0.00;0.00;11.45;0.00;-2.80
295.00;-7.82;-2.40;0.00;0.00;0.00;13.03;0.00;1.25;0.00;0.18;0.25;7.82;7.82;2.40;0.00;0.00;0.00;7.82;0.00;-1.25
296.00;-9.78;-2.37;0.00;0.00;0.00;16.30;0.00;2.19;0.00;0.21;0.25;9.78;9.78;2.37;0.00;0.00;0.00;9.78;0.00;-2.19
297.00;-13.53;-2.39;0.00;0.00;0.00;22.55;0.00;3.92;0.00;0.26;0.25;13.53;13.53;2.39;0.00;0.00;0.00;13.53;0.00;-3.92
298.00;-11.61;-2.25;0.00;0.00;0.00;19.36;0.00;3.17;0.00;0.23;0.25;11.61;11.61;2.25;0.00;0.00;0.00;11.61;0.00;-3.17
299.00;-8.36;-2.07;0.00;0.00;0.00;13.93;0.00;1.84;0.00;0.18;0.25;8.36;8.36;2.07;0.00;0.00;0.00;8.36;0.00;-1.84
300.00;-9.78;-2.07;0.00;0.00;0.00;16.30;0.00;2.50;0.00;0.20;0.25;9.78;9.78;2.07;0.00;0.00;0.00;9.78;0.00;-2.50
301.00;-15.46;-2.23;0.00;0.00;0.00;25.77;0.00;4.98;0.00;0.29;0.25;15.46;15.46;2.23;0.00;0.00;0.00;15.46;0.00;-4.98
302.00;-13.84;-2.28;0.00;0.00;0.00;23.06;0.00;4.18;0.00;0.26;0.25;13.84;13.84;2.28;0.00;0.00;0.00;13.84;0.00;-4.18
303.00;-10.09;-2.16;0.00;0.00;0.00;16.82;0.00;2.55;0.00;0.21;0.25;10.09;10.09;2.16;0.00;0.00;0.00;10.09;0.00;-2.55
304.00;-10.05;-2.10;0.00;0.00;0.00;16.76;0.00;2.59;0.00;0.21;0.25;10.05;10.05;2.10;0.00;0.00;0.00;10.05;0.00;-2.59
305.00;-10.52;-2.09;0.00;0.00;0.00;17.54;0.00;2.82;0.00;0.21;0.25;10.52;10.52;2.09;0.00;0.00;0.00;10.52;0.00;-2.82
306.00;-9.70;-2.11;0.00;0.00;0.00;16.17;0.00;2.42;0.00;0.20;0.25;9.70;9.70;2.11;0.00;0.00;0.00;9.70;0.00;-2.42
307.00;-11.82;-2.13;0.00;0.00;0.00;19.71;0.00;3.39;0.00;0.23;0.25;11.82;11.82;2.13;0.00;0.00;0.00;11.82;0.00;-3.39
308.00;-15.52;-2.10;0.00;0.00;0.00;25.87;0.00;5.14;0.00;0.28;0.25;15.52;15.52;2.10;0.00;0.00;0.00;15.52;0.00;-5.14
309.00;-13.98;-2.14;0.00;0.00;0.00;23.30;0.00;4.38;0.00;0.26;0.25;13.98;13.98;2.14;0.00;0.00;0.00;13.98;0.00;-4.38
310.00;-13.56;-2.22;0.00;0.00;0.00;22.60;0.00;4.10;0.00;0.26;0.25;13.56;13.56;2.22;0.00;0.00;0.00;13.56;0.00;-4.10
311.00;-10.40;-2.25;0.00;0.00;0.00;17.34;0.00;2.60;0.00;0.22;0.25;10.40;10.40;2.25;0.00;0.00;0.00;10.40;0.00;-2.60
312.00;-8.66;-2.37;0.02;0.00;0.00;14.40;0.00;1.66;0.00;0.19;0.25;8.66;8.66;2.37;0.02;0.00;0.00;8.64;0.00;-1.66
313.00;-12.41;-2.73;0.11;0.00;0.00;20.51;0.00;3.01;0.00;0.26;0.25;12.41;12.41;2.73;0.11;0.00;0.00;12.31;0.00;-3.01
